City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
349,Manicore,BR,88.11,overcast clouds,-5.8092,-61.3003,Hotel Durval
350,Itoman,JP,77.02,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
352,Ranong,TH,79.38,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
354,Ugoofaaru,MV,83.28,overcast clouds,5.6667,73.0,Ungoofaaru Inn
355,Ewo,CG,77.0,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
364,Farrukhnagar,IN,83.91,overcast clouds,17.0778,78.2011,Musthafa Five Star Kiranam
367,Sinnamary,GF,80.56,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
368,Sioux Lookout,CA,80.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
373,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
374,Mazarron,ES,77.11,few clouds,37.5992,-1.3149,Apartamentos Oasis de las Palmeras
375,Monte Patria,CL,75.65,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
378,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
384,Naval,PH,80.04,overcast clouds,11.5606,124.3975,Biliran Island Inn
385,Saravena,CO,87.35,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
387,Piacabucu,BR,78.84,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
388,Sao Jose Da Coroa Grande,BR,78.48,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
389,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
392,Mantua,IT,78.04,broken clouds,45.1667,10.7833,Hotel la Favorita
398,Lac Du Bonnet,CA,84.58,overcast clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
399,Alot,IN,89.17,overcast clouds,23.7667,75.55,Hotel banthiya avenue
400,Tucupita,VE,86.47,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
401,Agadir,MA,75.65,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
402,Billings,US,77.36,scattered clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
405,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
408,Carupano,VE,82.49,broken clouds,10.6678,-63.2585,Hotel La dorada
409,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
411,Loubomo,CG,75.11,light rain,-4.1997,12.6739,La Dolisienne
414,Morant Bay,JM,85.66,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
417,Aquin,HT,83.05,overcast clouds,18.2833,-73.4,Asheev Beach
421,Luoyang,CN,80.78,light rain,34.6836,112.4536,易家国际青年旅舍
428,Lubao,PH,80.62,overcast clouds,14.9167,120.55,Hacienda Gracia
431,Haikou,CN,77.13,clear sky,20.0458,110.3417,Sun City Restaurant
432,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
433,Valverde Del Camino,ES,87.08,clear sky,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
434,Port Hawkesbury,CA,86.92,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
438,Kalianget,ID,80.08,few clouds,-7.05,113.9333,Pesanggrahan Garam
442,Caravelas,BR,78.21,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
446,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
447,Manitouwadge,CA,78.58,overcast clouds,49.1215,-85.8403,Select Inn
448,Carutapera,BR,82.44,overcast clouds,-1.195,-46.02,Lidera
450,Sumenep,ID,78.71,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
452,Muisne,EC,84.31,broken clouds,0.6,-80.0333,Quinta Samay
454,Hambantota,LK,79.99,few clouds,6.1241,81.1185,Bungalow 63
468,Phayakkhaphum Phisai,TH,82.42,moderate rain,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
471,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
474,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
